# NodeID	Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	_id	OutDeg	Pagerank
2109698205	1197618258	1309541330	462	photo	http://www.flickr.com/photos/wafer/2109698205/	0	13	0.000017
2172469872	1199639228	1235734078	143	photo	http://www.flickr.com/photos/66176388@N00/2172469872/	1	26	0.000051
830593398	1184612667	1202780596	461	photo	http://www.flickr.com/photos/monster/830593398/	2	36	0.000059
2226919732	1201550820	1309610634	1020	photo	http://www.flickr.com/photos/massalim/2226919732/	3	65	0.000086
798067744	1184322146	1273577011	315	photo	http://www.flickr.com/photos/clairity/798067744/	4	30	0.000045
2162084627	1199371811	1299743337	422	photo	http://www.flickr.com/photos/lunadirimmel/2162084627/	5	26	0.000044
2516831585	1211592682	1283801987	616	photo	http://www.flickr.com/photos/_pichenettes_/2516831585/	6	12	0.000018
2145166304	1198885112	1285056636	94	photo	http://www.flickr.com/photos/gordoncowan/2145166304/	7	7	0.000021
2330883810	1205394686	1263882989	197	photo	http://www.flickr.com/photos/unsureshot/2330883810/	8	14	0.000020
1912488787	1194497557	1275491920	4039	photo	http://www.flickr.com/photos/eccentricscholar/1912488787/	9	17	0.000039
2509464660	1211310286	1227627012	311	photo	http://www.flickr.com/photos/okkynoscope/2509464660/	10	53	0.000090
2327166896	1205253457	1311865698	433	photo	http://www.flickr.com/photos/myrmician/2327166896/	11	31	0.000064
2185386062	1200053544	1276293407	422	photo	http://www.flickr.com/photos/mzmo/2185386062/	12	29	0.000044
2299623353	1204297360	1245141253	1460	photo	http://www.flickr.com/photos/hyku/2299623353/	13	26	0.000056
1407794500	1190208995	1253509479	165	photo	http://www.flickr.com/photos/tigerlillyshop/1407794500/	14	15	0.000022
2593338549	1213919332	1311549502	1349	photo	http://www.flickr.com/photos/seldom_seen/2593338549/	15	25	0.000039
2500863520	1211072836	1247088072	280	photo	http://www.flickr.com/photos/southernpixel/2500863520/	16	28	0.000043
2006705152	1194989000	1281064931	62	photo	http://www.flickr.com/photos/pulpolux/2006705152/	17	15	0.000023
2604902047	1214258396	1315167493	477	photo	http://www.flickr.com/photos/59683764@N00/2604902047/	18	22	0.000033
2593694116	1213904820	1244366836	344	photo	http://www.flickr.com/photos/slightlynorth/2593694116/	19	18	0.000023
1032007344	1186431386	1294396332	2474	photo	http://www.flickr.com/photos/placid_casual/1032007344/	20	17	0.000023
2608058628	1214323457	1233696893	1332	photo	http://www.flickr.com/photos/cobalt/2608058628/	21	35	0.000055
2088841267	1196880060	1312284629	11207	photo	http://www.flickr.com/photos/wsdot/2088841267/	22	15	0.000022
2261354486	1202846894	1310172159	1888	photo	http://www.flickr.com/photos/dirtyfeet/2261354486/	23	20	0.000043
2535725301	1212155946	1307736679	2700	photo	http://www.flickr.com/photos/doomed/2535725301/	24	30	0.000064
2040595896	1195311009	1264110314	329	photo	http://www.flickr.com/photos/meblob/2040595896/	25	56	0.000072
2544649056	1212393726	1307848253	1758	photo	http://www.flickr.com/photos/funadium/2544649056/	26	72	0.000100
2193707256	1200346739	1243755354	222	photo	http://www.flickr.com/photos/gaetanlee/2193707256/	27	24	0.000032
746964083	1183817665	1215452433	249	photo	http://www.flickr.com/photos/rickharris/746964083/	28	8	0.000019
2526784896	1211854846	1278542025	647	photo	http://www.flickr.com/photos/sierraromeo/2526784896/	29	10	0.000022
2333349356	1205508384	1297186187	909	photo	http://www.flickr.com/photos/fabiogis50/2333349356/	30	125	0.000201
2068920020	1196173348	1307374027	1754	photo	http://www.flickr.com/photos/soldiersmediacenter/2068920020/	31	11	0.000017
2406903516	1207966241	1309271780	2559	photo	http://www.flickr.com/photos/swanky-hsiao/2406903516/	32	20	0.000029
2416097336	1208253589	1270748453	122	photo	http://www.flickr.com/photos/lukje/2416097336/	33	12	0.000017
1578482244	1192457186	1303914510	260	photo	http://www.flickr.com/photos/pesterussa/1578482244/	34	17	0.000027
2253150086	1202581059	1211541072	50	photo	http://www.flickr.com/photos/hanosh/2253150086/	35	14	0.000027
614070340	1182711239	1186290161	168	photo	http://www.flickr.com/photos/cryner/614070340/	36	26	0.000039
1034991289	1186460600	1309177725	317	photo	http://www.flickr.com/photos/abbeychristine/1034991289/	37	15	0.000019
1418430188	1190388973	1249846010	317	photo	http://www.flickr.com/photos/bambolia/1418430188/	38	27	0.000043
2133095388	1198487991	1299228348	297	photo	http://www.flickr.com/photos/allypark/2133095388/	39	6	0.000018
2302729883	1204419695	1310350721	1895	photo	http://www.flickr.com/photos/thepack/2302729883/	40	94	0.000157
2454850148	1209571220	1255824802	248	photo	http://www.flickr.com/photos/apoptotic/2454850148/	41	21	0.000030
2257997534	1202736647	1206661776	88	photo	http://www.flickr.com/photos/steverideout/2257997534/	42	10	0.000013
1162614542	1187463945	1277027839	87	photo	http://www.flickr.com/photos/claveirole/1162614542/	43	20	0.000033
2181129128	1199899859	1309629318	1368	photo	http://www.flickr.com/photos/dalobeee/2181129128/	44	38	0.000067
2599483816	1214100398	1241617896	167	photo	http://www.flickr.com/photos/sweetteainnyc/2599483816/	45	30	0.000034
821403935	1184534673	1238695104	220	photo	http://www.flickr.com/photos/aoifejohanna/821403935/	46	8	0.000018
2505947865	1211230309	1245863757	386	photo	http://www.flickr.com/photos/hthg1983/2505947865/	47	33	0.000053
1724137920	1193210921	1312106424	164	photo	http://www.flickr.com/photos/mrhappy8/1724137920/	48	21	0.000032
2276500677	1203428017	1310752362	114	photo	http://www.flickr.com/photos/oldenburgphoto/2276500677/	49	16	0.000024
2307681762	1204550117	1255462200	332	photo	http://www.flickr.com/photos/chicagoeye/2307681762/	50	23	0.000051
2225301217	1201526195	1286665805	484	photo	http://www.flickr.com/photos/jamelah/2225301217/	51	21	0.000036
1439722468	1190753262	1280607618	372	photo	http://www.flickr.com/photos/glockenblume/1439722468/	52	37	0.000061
2244282847	1202241955	1256144181	160	photo	http://www.flickr.com/photos/zach_manchester/2244282847/	53	24	0.000039
2300422408	1204297555	1248472717	330	photo	http://www.flickr.com/photos/kian1/2300422408/	54	18	0.000028
2320944413	1205085030	1297790644	107	photo	http://www.flickr.com/photos/kurtxio/2320944413/	55	19	0.000032
2049493154	1195536440	1295368932	879	photo	http://www.flickr.com/photos/andycastro/2049493154/	56	12	0.000017
2234805008	1201871151	1263403002	129	photo	http://www.flickr.com/photos/mawa/2234805008/	57	13	0.000020
2508379226	1211275538	1252326370	204	photo	http://www.flickr.com/photos/ikex/2508379226/	58	19	0.000035
2548154702	1212492215	1289409463	474	photo	http://www.flickr.com/photos/armangi/2548154702/	59	23	0.000036
2472784543	1210161794	1214267877	170	photo	http://www.flickr.com/photos/ergates/2472784543/	60	10	0.000015
1979945792	1194853511	1297183230	1759	photo	http://www.flickr.com/photos/the_moog/1979945792/	61	21	0.000040
2475279784	1210215024	1244739563	196	photo	http://www.flickr.com/photos/xiangting/2475279784/	62	11	0.000020
2443080422	1209214706	1209535866	172	photo	http://www.flickr.com/photos/eneida/2443080422/	63	27	0.000053
826416906	1184569963	1189642332	251	photo	http://www.flickr.com/photos/zixi/826416906/	64	42	0.000066
2613232251	1214505550	1296484636	1975	photo	http://www.flickr.com/photos/paul_garland/2613232251/	65	30	0.000060
1261463548	1188337669	1299116968	647	photo	http://www.flickr.com/photos/grahammhodgson/1261463548/	66	8	0.000017
2285204722	1203734041	1229495593	45	photo	http://www.flickr.com/photos/jon_bradley/2285204722/	67	12	0.000018
639955918	1182959752	1270960982	109	photo	http://www.flickr.com/photos/jetheriot/639955918/	68	8	0.000013
2590448084	1213802413	1292281649	152	photo	http://www.flickr.com/photos/sexykitty/2590448084/	69	41	0.000074
2506332204	1211221037	1289073931	750	photo	http://www.flickr.com/photos/articnomad/2506332204/	70	52	0.000087
1116148823	1187107654	1311701926	860	photo	http://www.flickr.com/photos/fetopher/1116148823/	71	26	0.000034
1721928473	1193204435	1244324691	43	photo	http://www.flickr.com/photos/paisleypitbull/1721928473/	72	12	0.000027
2435779175	1208957247	1298004226	1003	photo	http://www.flickr.com/photos/thepack/2435779175/	73	88	0.000149
2333533182	1205514986	1295688789	352	photo		74	36	0.000054
2290937594	1203922546	1229836299	218	photo	http://www.flickr.com/photos/mhuang/2290937594/	75	10	0.000013
2469384658	1210027616	1294461412	2927	photo	http://www.flickr.com/photos/fatmanad/2469384658/	76	19	0.000032
